trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
31,False,"{'a': 0.02, 'e': 0.5488116360940265}",30,0,-62.723992737412225,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
32,False,"{'a': 0.02, 'e': 0.5379444375946745}",20,12,-48.098326731102745,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
33,False,"{'a': 0.02, 'e': 0.5272924240430485}",20,0,-74.80097560660946,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.02, 'e': 0.5168513344916992}",20,0,-19.556273595940553,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.02, 'e': 0.5066169923655895}",20,6,-72.23952675637342,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
36,False,"{'a': 0.02, 'e': 0.49658530379140947}",20,4,-6.186550041896853,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
37,False,"{'a': 0.02, 'e': 0.4867522559599717}",20,3,-30.939291062931144,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
38,False,"{'a': 0.02, 'e': 0.4771139155210344}",30,9,-7.673925892836203,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
39,False,"{'a': 0.02, 'e': 0.46766642700990924}",20,11,16.5537235310387,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.02, 'e': 0.4584060113052235}",20,2,-4.280975702165464,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.02, 'e': 0.44932896411722156}",20,0,-79.06197918856874,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
42,False,"{'a': 0.02, 'e': 0.44043165450599925}",20,1,-43.24741524055567,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 0}",1
43,False,"{'a': 0.02, 'e': 0.43171052342907973}",20,1,17.954698905667076,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.02, 'e': 0.4231620823177488}",20,4,6.261197492570059,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
